id,author,bookName
37909,Laura Lee Hope,The Bobbsey Twins on the Deep Blue Sea
3791,James Lane Allen,The Reign Of Law
37911,Margaret Penrose,The Motor Girls at Lookout Beach
37912,Gertrude W. Morrison,The Girls of Central High at Basketball
37913,Herman Landon,The Gray Phantom
37915,Charles Henry Mackintosh,Notes on the Book of Genesis
37917,Edward Frederic Benson,Across the Stream
37918,The United States Dept. of the Interior,Rocky Mountain National Park
37919,Oliver Onions,In Accordance with the Evidence
3792,Emma D. E. N. Southworth,Capitola The Madcap
37920,Thomas C. Dawson,The South American Republics Part I of II
37921,Charles G. Harper,The Bath Road
37923,Henry Fielding,The Old Debauchees. A Comedy (1732)
37927,Kenneth Ward,The Boy Volunteers with the French Airman
37929,Allen Chapman,Fenn Masterson's Discovery
3793,L. Muhlbach,Joseph II and His Court
37930,John Roby,The Legendary and Poetical Remains of John Roby
37937,E. V. Lucas,A Wanderer in Paris
37943,Edwin L. Sabin,The Pike's Peak Rush
37947,John Lloyd Stephens,"Incidents of Travel in Greece, Turkey, Russia, and Poland, 7th ed. Vol. 2 of 2"
37948,Guy Boothby,The Beautiful White Devil
3795,Louisa May Alcott,Under the Lilacs
37950,Thomas C. Dawson,"The South American Republics, Part II (of 2)"
37952,Thornton W. Burgess,The Adventures of Chatterer the Red Squirrel
37954,John Oxenham,Maid of the Mist
37955,"Florence A. Thomas Marshall, a.k.a. Mrs. Julian Marshall","The Life and Letters of Mary Wollstonecraft Shelley, Volume I (of 2"
37956,"Florence A. Thomas Marshall, a.k.a. Mrs. Julian Marshall","The Life and Letters of Mary Wollstonecraft Shelley, Volume II (of 2"
37957,George P. Marsh,Man and Nature
3796,Lucy Maud Montgomery,Rilla of Ingleside
37960,Elizabeth S. Kite,Beaumarchais and the War of American Independence Vol. 1 of 2
37962,William Somerset Maugham,"Plays: Lady Frederick, The Explorer, A Man of Honor"
37963,Richard Marsh,Miss Arnott's Marriage
37965,William Somerset Maugham,Caesar's Wife
37966,Richard Marsh,Between the Dark and the Daylight
3797,H. G. Wells,In the Days of the Comet
37972,Anne Warner,Sunshine Jane
37973,Mary Cholmondeley,"Diana Tempest, Volume I (of 3)"
37974,Mary Cholmondeley,"Diana Tempest, Volume II (of 3)"
37975,Mary Cholmondeley,"Diana Tempest, Volume III (of 3)"
37976,L. Frank Baum,Dot and Tot of Merryland
37979,Giovanni Verga,Under the Shadow of Etna
37981,Louisa May Alcott,May Flowers
37988,Eliza Leslie,Ladies' Guide to True Politeness and Perfect Manners
37992,Daniel Defoe,The King of Pirates
380,Robert Louis Stevenson,Weir of Hermiston
3800,Benedict de Spinoza,The Ethics
38000,J. B. Elwell,Bridge; its Principles and Rules of Play
38001,Charles Paul de Kock,"San-Cravate; or, The Messengers; Little Streams"
38003,Frank M. Chapman,Color Key to North American Birds
38005,Louis Couperus,Psyche
38006,Mrs. Georgie Sheldon,The Heatherford Fortune
38009,Walter M. Gallichan,The Story of Seville
3801,Louise Muhlbach,Napoleon And Blucher
38011,Lewis Morris,The Epic of Hades
38017,W. Carew Hazlitt,"Schools, School-Books and Schoolmasters"
38018,Lillian Elizabeth Roy,Girl Scouts in the Rockies
3802,Emile Gaboriau,The Widow Lerouge
38020,Guy Wetmore Carryl,The Transgression of Andrew Vane
